Date,Open,High,Low,Close,action,RSI,portfolio_value
2022-11-17 00:00:00-05:00,144.91,149.9,144.63,149.15,none,44.59490475097543,1764597.4830702161
2022-11-18 00:00:00-05:00,150.72,151.11,148.41,149.72,none,47.8812544888676,1771334.1114799785
2022-11-21 00:00:00-05:00,148.6,148.81,146.18,146.47,none,47.20320981826763,1732923.5108979994
2022-11-22 00:00:00-05:00,146.59,148.85,145.4,148.62,none,56.853182751540054,1758333.6005137702
2022-11-23 00:00:00-05:00,147.89,150.25,147.79,149.5,none,68.19662422268286,1768734.0092867368
2022-11-25 00:00:00-05:00,146.77,147.33,145.59,146.57,none,63.217128740049425,1734105.375531291
2022-11-28 00:00:00-05:00,143.63,145.11,141.89,142.72,none,56.60377358490567,1688603.5871495618
2022-11-29 00:00:00-05:00,142.79,143.3,138.89,139.7,none,51.955439677648705,1652911.2752241534
2022-11-30 00:00:00-05:00,139.93,147.17,139.09,146.49,none,64.66216216216219,1733159.8838246579
2022-12-01 00:00:00-05:00,146.67,147.58,145.08,146.77,none,52.179213654373676,1736469.1047978743
2022-12-02 00:00:00-05:00,144.44,146.46,144.13,146.27,none,46.9354310062275,1730559.7816314162
2022-12-05 00:00:00-05:00,146.23,149.35,144.25,145.1,none,47.29194187582561,1716731.9654219034
2022-12-06 00:00:00-05:00,145.54,145.77,140.44,141.42,none,39.04407200496586,1673239.3469167699
2022-12-07 00:00:00-05:00,140.71,141.88,138.54,139.47,none,38.20224719101124,1650192.9865675827
2022-12-08 00:00:00-05:00,140.88,142.03,139.63,141.17,none,37.80562347188262,1670284.685333541
2022-12-09 00:00:00-05:00,140.86,144.06,139.43,140.68,none,36.151960784313744,1664493.548630412
2022-12-12 00:00:00-05:00,141.22,143.0,139.59,142.99,none,44.51104100946374,1691794.6216594493
2022-12-13 00:00:00-05:00,147.94,148.41,142.74,143.96,none,42.36566186107471,1703258.7086023786
2022-12-14 00:00:00-05:00,143.84,145.13,139.69,141.72,none,37.79799247176914,1676784.940816645
2022-12-15 00:00:00-05:00,139.64,140.32,134.61,135.08,none,33.857825231806714,1598309.1291660785
2022-12-16 00:00:00-05:00,135.27,136.22,132.34,133.11,none,35.7460694156037,1575026.3958902326
2022-12-19 00:00:00-05:00,133.7,133.79,129.95,130.99,none,36.72660774154224,1549970.8656644493
2022-12-20 00:00:00-05:00,130.02,131.86,128.54,130.92,buy,20.16098121885777,1549143.5604211448
2022-12-21 00:00:00-05:00,131.6,135.39,131.37,134.04,none,27.998617352229502,1586017.736979845
2022-12-22 00:00:00-05:00,132.95,133.16,128.94,130.85,none,25.616698292220093,1548316.2551778408
2022-12-23 00:00:00-05:00,129.56,131.04,128.29,130.49,none,26.290165530671857,1544061.542497991
2022-12-27 00:00:00-05:00,130.01,130.04,127.38,128.68,none,27.988942639944725,1522669.7926354117
